iso,percentage_school_prim,percentage_school_ls,percentage_school_prim_ls
ABW,0.106926085,0.057845836,0.164771921
AFG,0.106926085,0.057845836,0.164771921
AGO,0.106926085,0.057845836,0.164771921
ALB,0.106926085,0.057845836,0.164771921
ARE,0.106926085,0.057845836,0.164771921
ARG,0.106926085,0.057845836,0.164771921
ARM,0.106926085,0.057845836,0.164771921
AUS,0.106926085,0.057845836,0.164771921
AUT,0.106926085,0.057845836,0.164771921
AZE,0.106926085,0.057845836,0.164771921
BDI,0.106926085,0.057845836,0.164771921
BEL,0.106926085,0.057845836,0.164771921
BEN,0.106926085,0.057845836,0.164771921
BFA,0.106926085,0.057845836,0.164771921
BGD,0.106926085,0.057845836,0.164771921
BGR,0.106926085,0.057845836,0.164771921
BHR,0.106926085,0.057845836,0.164771921
BHS,0.106926085,0.057845836,0.164771921
BIH,0.106926085,0.057845836,0.164771921
BLR,0.106926085,0.057845836,0.164771921
BLZ,0.106926085,0.057845836,0.164771921
BOL,0.106926085,0.057845836,0.164771921
BRA,0.106926085,0.057845836,0.164771921
BRB,0.106926085,0.057845836,0.164771921
BRN,0.106926085,0.057845836,0.164771921
BTN,0.106926085,0.057845836,0.164771921
BWA,0.106926085,0.057845836,0.164771921
CAF,0.106926085,0.057845836,0.164771921
CAN,0.106926085,0.057845836,0.164771921
CHE,0.106926085,0.057845836,0.164771921
CHL,0.106926085,0.057845836,0.164771921
CHN,0.106926085,0.057845836,0.164771921
CIV,0.106926085,0.057845836,0.164771921
CMR,0.106926085,0.057845836,0.164771921
COD,0.106926085,0.057845836,0.164771921
COG,0.106926085,0.057845836,0.164771921
COL,0.106926085,0.057845836,0.164771921
COM,0.106926085,0.057845836,0.164771921
CPV,0.106926085,0.057845836,0.164771921
CRI,0.106926085,0.057845836,0.164771921
CUB,0.106926085,0.057845836,0.164771921
CYP,0.106926085,0.057845836,0.164771921
CZE,0.106926085,0.057845836,0.164771921
DEU,0.106926085,0.057845836,0.164771921
DJI,0.106926085,0.057845836,0.164771921
DNK,0.106926085,0.057845836,0.164771921
DOM,0.106926085,0.057845836,0.164771921
DZA,0.106926085,0.057845836,0.164771921
ECU,0.106926085,0.057845836,0.164771921
EGY,0.106926085,0.057845836,0.164771921
ERI,0.106926085,0.057845836,0.164771921
ESP,0.106926085,0.057845836,0.164771921
EST,0.106926085,0.057845836,0.164771921
ETH,0.106926085,0.057845836,0.164771921
FIN,0.106926085,0.057845836,0.164771921
FJI,0.106926085,0.057845836,0.164771921
FRA,0.106926085,0.057845836,0.164771921
FSM,0.106926085,0.057845836,0.164771921
GAB,0.106926085,0.057845836,0.164771921
GBR,0.106926085,0.057845836,0.164771921
GEO,0.106926085,0.057845836,0.164771921
GHA,0.106926085,0.057845836,0.164771921
GIN,0.106926085,0.057845836,0.164771921
GLP,0.106926085,0.057845836,0.164771921
GMB,0.106926085,0.057845836,0.164771921
GNB,0.106926085,0.057845836,0.164771921
GNQ,0.106926085,0.057845836,0.164771921
GRC,0.106926085,0.057845836,0.164771921
GRD,0.106926085,0.057845836,0.164771921
GTM,0.106926085,0.057845836,0.164771921
GUF,0.106926085,0.057845836,0.164771921
GUM,0.106926085,0.057845836,0.164771921
GUY,0.106926085,0.057845836,0.164771921
HKG,0.106926085,0.057845836,0.164771921
HND,0.106926085,0.057845836,0.164771921
HRV,0.106926085,0.057845836,0.164771921
HTI,0.106926085,0.057845836,0.164771921
HUN,0.106926085,0.057845836,0.164771921
IDN,0.106926085,0.057845836,0.164771921
IND,0.106926085,0.057845836,0.164771921
IRL,0.106926085,0.057845836,0.164771921
IRN,0.106926085,0.057845836,0.164771921
IRQ,0.106926085,0.057845836,0.164771921
ISL,0.106926085,0.057845836,0.164771921
ISR,0.106926085,0.057845836,0.164771921
ITA,0.106926085,0.057845836,0.164771921
JAM,0.106926085,0.057845836,0.164771921
JOR,0.106926085,0.057845836,0.164771921
JPN,0.106926085,0.057845836,0.164771921
KAZ,0.106926085,0.057845836,0.164771921
KEN,0.106926085,0.057845836,0.164771921
KGZ,0.106926085,0.057845836,0.164771921
KHM,0.106926085,0.057845836,0.164771921
KOR,0.106926085,0.057845836,0.164771921
KWT,0.106926085,0.057845836,0.164771921
LAO,0.106926085,0.057845836,0.164771921
LBN,0.106926085,0.057845836,0.164771921
LBR,0.106926085,0.057845836,0.164771921
LBY,0.106926085,0.057845836,0.164771921
LCA,0.106926085,0.057845836,0.164771921
LKA,0.106926085,0.057845836,0.164771921
LSO,0.106926085,0.057845836,0.164771921
LTU,0.106926085,0.057845836,0.164771921
LUX,0.106926085,0.057845836,0.164771921
LVA,0.106926085,0.057845836,0.164771921
MAC,0.106926085,0.057845836,0.164771921
MAR,0.106926085,0.057845836,0.164771921
MDA,0.106926085,0.057845836,0.164771921
MDG,0.106926085,0.057845836,0.164771921
MDV,0.106926085,0.057845836,0.164771921
MEX,0.106926085,0.057845836,0.164771921
MKD,0.106926085,0.057845836,0.164771921
MLI,0.106926085,0.057845836,0.164771921
MLT,0.106926085,0.057845836,0.164771921
MMR,0.106926085,0.057845836,0.164771921
MNE,0.106926085,0.057845836,0.164771921
MNG,0.106926085,0.057845836,0.164771921
MOZ,0.106926085,0.057845836,0.164771921
MRT,0.106926085,0.057845836,0.164771921
MTQ,0.106926085,0.057845836,0.164771921
MUS,0.106926085,0.057845836,0.164771921
MWI,0.106926085,0.057845836,0.164771921
MYS,0.106926085,0.057845836,0.164771921
MYT,0.106926085,0.057845836,0.164771921
NAM,0.106926085,0.057845836,0.164771921
NCL,0.106926085,0.057845836,0.164771921
NER,0.106926085,0.057845836,0.164771921
NGA,0.106926085,0.057845836,0.164771921
NIC,0.106926085,0.057845836,0.164771921
NLD,0.106926085,0.057845836,0.164771921
NOR,0.106926085,0.057845836,0.164771921
NPL,0.106926085,0.057845836,0.164771921
NZL,0.106926085,0.057845836,0.164771921
OMN,0.106926085,0.057845836,0.164771921
PAK,0.106926085,0.057845836,0.164771921
PAN,0.106926085,0.057845836,0.164771921
PER,0.106926085,0.057845836,0.164771921
PHL,0.106926085,0.057845836,0.164771921
PNG,0.106926085,0.057845836,0.164771921
POL,0.106926085,0.057845836,0.164771921
PRI,0.106926085,0.057845836,0.164771921
PRK,0.106926085,0.057845836,0.164771921
PRT,0.106926085,0.057845836,0.164771921
PRY,0.106926085,0.057845836,0.164771921
PSE,0.106926085,0.057845836,0.164771921
PYF,0.106926085,0.057845836,0.164771921
QAT,0.106926085,0.057845836,0.164771921
REU,0.106926085,0.057845836,0.164771921
ROU,0.106926085,0.057845836,0.164771921
RUS,0.106926085,0.057845836,0.164771921
RWA,0.106926085,0.057845836,0.164771921
SAU,0.106926085,0.057845836,0.164771921
SDN,0.106926085,0.057845836,0.164771921
SEN,0.106926085,0.057845836,0.164771921
SGP,0.106926085,0.057845836,0.164771921
SLB,0.106926085,0.057845836,0.164771921
SLE,0.106926085,0.057845836,0.164771921
SLV,0.106926085,0.057845836,0.164771921
SOM,0.106926085,0.057845836,0.164771921
SRB,0.106926085,0.057845836,0.164771921
STP,0.106926085,0.057845836,0.164771921
SUR,0.106926085,0.057845836,0.164771921
SVK,0.106926085,0.057845836,0.164771921
SVN,0.106926085,0.057845836,0.164771921
SWE,0.106926085,0.057845836,0.164771921
SWZ,0.106926085,0.057845836,0.164771921
SYR,0.106926085,0.057845836,0.164771921
TCD,0.106926085,0.057845836,0.164771921
TGO,0.106926085,0.057845836,0.164771921
THA,0.106926085,0.057845836,0.164771921
TJK,0.106926085,0.057845836,0.164771921
TKM,0.106926085,0.057845836,0.164771921
TLS,0.106926085,0.057845836,0.164771921
TON,0.106926085,0.057845836,0.164771921
TTO,0.106926085,0.057845836,0.164771921
TUN,0.106926085,0.057845836,0.164771921
TUR,0.106926085,0.057845836,0.164771921
TZA,0.106926085,0.057845836,0.164771921
UGA,0.106926085,0.057845836,0.164771921
UKR,0.106926085,0.057845836,0.164771921
URY,0.106926085,0.057845836,0.164771921
USA,0.106926085,0.057845836,0.164771921
UZB,0.106926085,0.057845836,0.164771921
VCT,0.106926085,0.057845836,0.164771921
VEN,0.106926085,0.057845836,0.164771921
VIR,0.106926085,0.057845836,0.164771921
VNM,0.106926085,0.057845836,0.164771921
VUT,0.106926085,0.057845836,0.164771921
WSM,0.106926085,0.057845836,0.164771921
YEM,0.106926085,0.057845836,0.164771921
ZAF,0.106926085,0.057845836,0.164771921
ZMB,0.106926085,0.057845836,0.164771921
ZWE,0.106926085,0.057845836,0.164771921
